invoice_id,date,vendor,category,amount,status
F-2025-0635,2025-10-26,ENERGIA DE BOGOTA,Servicios,5087000,PENDING
F-2025-0519,2025-01-05,TECNOSOLUCIONES LTDA,Tecnologia,$12.070.400,PAID
F-2025-0044,2025-02-03,PUBLICIDAD CREATIVA,Marketing,$656.000,PAID
F-2025-0640,2025-06-28,PAPELERIA CENTRAL,Oficina,$4.068.300,PENDING
F-2025-0525,2025-09-25,DISTRIBUIDORA EL SOL SAS,Insumos,$3.086.600,PAID
F-2025-0294,2025-01-04,TECNOSOLUCIONES LTDA,Tecnologia,1056100,CANCELLED
F-2025-0699,2025-04-02,FERRETERIA EL TORNILLO,Mantenimiento,728000,PAID
F-2025-0059,2025-04-06,INTERNET RAPIDO SA,SERVICIOS,$807.000,CANCELLED
F-2025-0127,2025-11-11,FERRETERIA EL TORNILLO,MANTENIMIENTO,$309.000,PENDING
F-2025-0583,2025-07-09,CAFE DE LA MONTANA,Cafeteria,77000,PENDING
F-2025-0500,2025-05-15,FERRETERIA EL TORNILLO,Mantenimiento,$ 547000,PAID
F-2025-0452,2025-06-03,TECNOSOLUCIONES LTDA,Tecnologia,$13.093.500,PAID
F-2025-0697,2025-12-13,ASEO TOTAL SAS,Mantenimiento,15096400,PENDING
F-2025-0419,2025-08-08,PAPELERIA CENTRAL,Oficina,$15.097.700,PENDING
F-2025-0383,2025-11-24,ENERGIA DE BOGOTA,Servicios,$4.048.400,PENDING
F-2025-0424,2025-03-13,FERRETERIA EL TORNILLO,Mantenimiento,6008700,PAID
F-2025-0373,2025-05-11,TECNOSOLUCIONES LTDA,Tecnologia,3008600,PAID
F-2025-0270,2025-07-05,ASEO TOTAL SAS,Mantenimiento,$5.039.200,PENDING
F-2025-0660,2025-12-22,PAPELERIA CENTRAL,Oficina,$ 448000,PENDING
F-2025-0133,2025-07-08,TECNOSOLUCIONES LTDA,Tecnologia,$5.072.000,CANCELLED
F-2025-0376,2025-08-25,DISTRIBUIDORA EL SOL SAS,INSUMOS,$585.000,PENDING
F-2025-0759,2025-02-17,DISTRIBUIDORA EL SOL SAS,unknown,606000,PENDING
F-2025-0041,2025-07-13,CAFE DE LA MONTANA,Cafeteria,"7,041,700",PENDING
F-2025-0636,2025-02-01,INTERNET RAPIDO SA,Servicios,"684,000",PENDING
F-2025-0411,2025-08-13,ENERGIA DE BOGOTA,Servicios,"518,000",PAID
F-2025-0461,2025-05-09,TECNOSOLUCIONES LTDA,Tecnologia,546000,PAID
F-2025-0086,2025-10-14,ENERGIA DE BOGOTA,Servicios,"479,000",PENDING
